,Titre,Commentaires,Date,Lien,Auteur,Lien auteur
92,"OCUB 106 : Jazz, ciné, vélo, point théâtre, colère, blatte et sexisme",0,2017-11-01T14:45:51+00:00,https://www.lausannebondyblog.ch/ocub-106/,Lucien,['https://www.lausannebondyblog.ch/author/lucien/']
93,L’entrevue décalée : Léonore Porchet,0,2017-10-31T11:25:18+00:00,https://www.lausannebondyblog.ch/lentrevue-decalee-leonore-porchet/,Julie Collet,['https://www.lausannebondyblog.ch/author/julie/']
94,BadTripAdvisor : choisir son resto quand on débarque à Lausanne,0,2017-11-03T10:06:25+00:00,https://www.lausannebondyblog.ch/badtripadvisor-choisir-son-resto-quand-on-debarque-a-lausanne/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
95,Cachez ce temple que je ne saurais voir,0,2018-04-14T09:25:31+00:00,https://www.lausannebondyblog.ch/cachez-ce-temple-que-je-ne-saurais-voir/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
96,"Princess Nokia, la « riot grrrl » du hip-hop en concert à Lausanne",0,2017-10-24T17:11:53+00:00,https://www.lausannebondyblog.ch/princess-nokia-la-riot-grrrl-du-hip-hop-en-concert-a-lausanne/,Mathilde,['https://www.lausannebondyblog.ch/author/mathilde/']
97,« VIANDE = SOUFFRANCE »,3,2017-10-24T16:44:22+00:00,https://www.lausannebondyblog.ch/viande_souffrance/,Lucien,['https://www.lausannebondyblog.ch/author/lucien/']
98,Derrière la plume de Tiffany Jaquet,0,2017-10-20T12:20:09+00:00,https://www.lausannebondyblog.ch/derriere-la-plume-de-tiffany-jaquet/,Camille Borgeaud,['https://www.lausannebondyblog.ch/author/camille/']
99,"La littérature romande, ça vous inspire ? – « L’Enfant du placard »",0,2017-10-20T12:01:11+00:00,https://www.lausannebondyblog.ch/la-litterature-romande-ca-vous-inspire-lenfant-du-placard/,Camille Borgeaud,['https://www.lausannebondyblog.ch/author/camille/']
100,"OCUB 105 : Immersion dans un concert de classique, jeunes auteurs, contes et polars !",0,2017-10-19T08:30:26+00:00,https://www.lausannebondyblog.ch/ocub-105-immersion-dans-un-concert-de-classique-jeunes-auteurs-contes-et-polars/,Julie Collet,['https://www.lausannebondyblog.ch/author/julie/']
101,"Un pour tous, tous touristes",0,2018-06-29T08:37:05+00:00,https://www.lausannebondyblog.ch/touristes/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
102,"« MÊME SI JE MOUILLE, NON, C’EST NON »",1,2017-10-10T17:43:49+00:00,https://www.lausannebondyblog.ch/inscription-insolite-sur-un-banc-public/,Lucien,['https://www.lausannebondyblog.ch/author/lucien/']
103,Un plongeon aux tréfonds de la pensée : « Narcisse évanoui »,0,2018-10-19T15:22:09+00:00,https://www.lausannebondyblog.ch/un-plongeon-aux-trefonds-de-la-pensee-narcisse-evanoui/,Yoan,['https://www.lausannebondyblog.ch/author/yoan/']
104,"OCUB 104 : De l’humour, de la danse, du cinéma, des expos, what else ?",0,2017-10-05T11:57:00+00:00,https://www.lausannebondyblog.ch/ocub-104-de-lhumour-de-la-danse-du-cinema-des-expos-what-else/,Mizu Ki,['https://www.lausannebondyblog.ch/author/emilie/']
105,OCUB 103 : Projets d’évasions et découvertes à l’horizon…,0,2017-09-20T20:12:28+00:00,https://www.lausannebondyblog.ch/ocub-103-projets-devasions-et-decouvertes-a-lhorizon/,Camille Borgeaud,['https://www.lausannebondyblog.ch/author/camille/']
106,Born to speak vaudois !,0,2017-09-14T16:05:47+00:00,https://www.lausannebondyblog.ch/born-to-speak-vaudois/,Mizu Ki,['https://www.lausannebondyblog.ch/author/emilie/']
